# Estacion de monitoreo - lecturas crudas
# formato: id_sensor;tipo;timestamp;valor;unidad
id_sensor;tipo;timestamp;valor;unidad
S-01;temperatura;2026-09-28T08:00;21.4;C
S-02;temperatura;2026-09-28T08:00;70.7;F
S-03;humedad;2026-09-28T08:00;63.0;%
S-04;presion;2026-09-28T08:00;1013.2;hPa
S-05;humedad;2026-09-28T08:00;41.5;%
S-01;temperatura;2026-09-28T08:15;22.1;C
S-02;temperatura;2026-09-28T08:15;72.5;F
S-03;humedad;2026-09-28T08:15;64.2;%
S-04;presion;2026-09-28T08:15;101280.0;Pa
S-05;humedad;2026-09-28T08:15;40.8;%
S-01;temperatura;2026-09-28T08:30;24.8;C
S-02;temperatura;2026-09-28T08:30;81.3;F
S-03;humedad;2026-09-28T08:30;68.9;%
S-04;presion;2026-09-28T08:30;1012.4;hPa
S-05;humedad;2026-09-28T08:30;39.7;%
S-01;temperatura;2026-09-28T08:45;27.9;C
S-02;temperatura;2026-09-28T08:45;86.0;F
S-03;humedad;2026-09-28T08:45;71.4;%
S-04;presion;2026-09-28T08:45;1011.9;hPa
S-05;humedad;2026-09-28T08:45;38.2;%
S-01;temperatura;2026-09-28T09:00;29.6;C
S-02;temperatura;2026-09-28T09:00;91.4;F
S-03;humedad;2026-09-28T09:00;74.8;%
S-04;presion;2026-09-28T09:00;100950.0;Pa
S-05;humedad;2026-09-28T09:00;36.1;%
S-01;temperatura;2026-09-28T09:15;301.3;K
S-02;temperatura;2026-09-28T09:15;93.2;F
S-03;humedad;2026-09-28T09:15;77.2;%
S-04;presion;2026-09-28T09:15;1009.1;hPa
S-05;humedad;2026-09-28T09:15;34.6;%
S-01;temperatura;2026-09-28T09:30;30.8;C
S-02;temperatura;2026-09-28T09:30;s/d;F
S-03;humedad;2026-09-28T09:30;79.5;%
S-04;presion;2026-09-28T09:30;1030.5;hPa
S-05;humedad;2026-09-28T09:30;31.2;%
S-01;temperatura;2026-09-28T09:45;31.5;C
S-02;temperatura;2026-09-28T09:45;95.0;F
S-03;humedad;2026-09-28T09:45;82.1;%
S-04;presion;2026-09-28T09:45;1007.6
S-05;humedad;2026-09-28T09:45;28.4;%
S-01;temperatura;2026-09-28T10:00;17.2;C
S-02;temperatura;2026-09-28T10:00;60.8;F
S-03;humedad;2026-09-28T10:00;66.3;%
S-04;presion;2026-09-28T10:00;1031.8;hPa
S-05;humedad;2026-09-28T10:00;29.9;%
S-06;caudal;2026-09-28T10:00;12.4;l/s
S-01;temperatura;2026-09-28T10:15;16.4;C
S-02;temperatura;2026-09-28T10:15;58.1;F
S-03;humedad;2026-09-28T10:15;61.0;%
S-04;presion;2026-09-28T10:15;978.5;hPa
S-05;humedad;2026-09-28T10:15;33.7;%
